Lon,Lat,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.02353079,38.92945321,1208,Ward 1,"3110 Georgia Ave NW, Washington, District of Columbia 20010",3110 & 3112 Georgia Ave. NW,Under Construction,DHCD,1,38.929446,-77.023528,0,1,0,0,0,,232888,397959.89,140174.25,3110 GEORGIA AVENUE NW,2019-05-20T04:00:25.000Z
-77.04120813,38.91025516,1209,Ward 2,"1772 Church St NW, Washington, District of Columbia 20036",St. Thomas,Completed 2015 to Date,DHCD,7,38.910213,-77.041041,0,2,3,2,0,,225918,396426.16,138043.65,1772 CHURCH STREET NW,2019-05-20T04:00:25.000Z
-77.02357193,38.90843316,1210,Ward 6,"810 O St NW, Washington, District of Columbia 20001",The Perla,Under Construction,DHCD OP,6,38.908298,-77.023668,0,4,0,2,0,16-07,279953,397955.72,137840.85,810 O STREET NW,2019-05-20T04:00:25.000Z
-76.98951941,38.83993231,1211,Ward 8,"1200 Mississippi Ave SE, Washington, District of Columbia 20032",Archer Park (Wing II),Completed 2015 to Date,DCHFA DHCD OP,109,38.84005542,-76.98881414,5,0,90,14,0,13-17,296061,400910.09,130236.53,1200 MISSISSIPPI AVENUE SE,2019-05-20T04:00:25.000Z
-77.01184164,38.87090019,1212,Ward 6,"1550 1st St SW, Washington, District of Columbia 20024",1550 1st St SW,Pipeline,DHCD OP,76,38.870893,-77.011839,16,60,0,0,0,17-13,60745,398972.59,133674.2,1550 1ST STREET SW,2019-05-20T04:00:25.000Z
-77.007814,38.94930761,1213,Ward 5,"4819 N Capitol St NE, Washington, District of Columbia 20011",Tivoli Gardens TOPA,Completed 2015 to Date,DHCD,49,38.9493,-77.007812,4,8,37,0,0,,299734,399322.85,142378.03,4819 NORTH CAPITOL STREET NE,2019-05-20T04:00:25.000Z
-77.02019168,38.90023619,1214,Ward 2,"800 6th St NW, Washington, District of Columbia 20001",Wah Luck House,Under Construction,DHCD,152,38.900229,-77.020189,0,152,0,0,0,,279939,398248.7,136930.85,800 6TH STREET NW,2019-05-20T04:00:25.000Z
-77.00006205,38.82781946,1215,Ward 8,"4216 4th St SE, Washington, District of Columbia 20032",Atlantic Gardens,Completed 2015 to Date,DCHFA DHCD,172,38.827812,-77.00006,108,64,0,0,0,,147359,399994.81,128891.87,4216 4TH STREET SE,2019-05-20T04:00:25.000Z
-76.99133852,38.93400805,1216,Ward 5,"3614 12th Street Northeast, Washington, District of Columbia 20017",3614 12th St NE,Under Construction,DHCD,1,38.934001,-76.991336,0,0,0,1,0,,32748,400751.17,140679.65,3614 12TH STREET NE,2019-05-20T04:00:25.000Z
-77.03059148,38.92271146,1217,Ward 1,"1315 Clifton St NW, Washington, District of Columbia 20009",Clifton Street,Under Construction,DHCD OP,17,38.922797,-77.030748,0,13,0,4,0,15-03,232073,397347.42,139426.04,1315 CLIFTON STREET NW,2019-05-20T04:00:25.000Z
